City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2021-12-04 08:53:09,-34.4187,19.2345,70.9,64,100,19.69
68,Batagay,RU,2021-12-04 08:53:09,67.6333,134.6333,-46.16,99,55,2.1
69,Ushuaia,AR,2021-12-04 08:51:31,-54.8,-68.3,46.06,49,20,5.75
70,Kahului,US,2021-12-04 08:53:10,20.8947,-156.47,71.83,77,90,17.27
71,Airai,TL,2021-12-04 08:53:10,-8.9266,125.4092,65.07,92,100,0.16
72,Maltahohe,NA,2021-12-04 08:53:11,-24.8333,16.9833,69.57,13,0,20.67
73,Hirara,JP,2021-12-04 08:53:11,24.8,125.2833,67.86,59,75,16.11
74,Ponta Do Sol,PT,2021-12-04 08:53:12,32.6667,-17.1,65.03,66,100,8.61
75,Pilar,BR,2021-12-04 08:53:12,-9.5972,-35.9567,78.73,88,77,5.46
76,Taltal,CL,2021-12-04 08:53:12,-25.4,-70.4833,60.78,80,32,1.77
77,Asau,RO,2021-12-04 08:53:13,46.4333,26.4,34.95,72,83,3.02
78,Lorengau,PG,2021-12-04 08:49:03,-2.0226,147.2712,81.61,84,98,15.32
79,Shimoda,JP,2021-12-04 08:53:13,34.6667,138.95,49.1,68,0,26.46
80,Ilulissat,GL,2021-12-04 08:53:14,69.2167,-51.1,17.04,55,100,17.0
81,Progreso,MX,2021-12-04 08:53:14,21.2833,-89.6667,73.11,79,97,8.01
82,Hobe Sound,US,2021-12-04 08:53:15,27.0595,-80.1364,65.01,89,40,0.0
83,Ugoofaaru,MV,2021-12-04 08:53:15,5.6667,73.0,82.67,74,11,8.1
84,Batagay-Alyta,RU,2021-12-04 08:53:16,67.8006,130.4114,-32.4,95,100,2.95
85,Mahebourg,MU,2021-12-04 08:53:16,-20.4081,57.7,86.29,62,40,14.97
86,Zemetchino,RU,2021-12-04 08:53:16,53.4973,42.6163,32.99,79,99,11.74
87,Kodiak,US,2021-12-04 08:52:00,57.79,-152.4072,8.11,92,1,5.75
88,Aden,YE,2021-12-04 08:53:17,12.7794,45.0367,80.87,57,0,12.19
89,Visnes,NO,2021-12-04 08:53:18,59.3556,5.2242,35.58,100,90,21.85
90,Vestmannaeyjar,IS,2021-12-04 08:54:18,63.4427,-20.2734,32.88,75,16,13.6
91,Iqaluit,CA,2021-12-04 08:54:19,63.7506,-68.5145,1.13,77,75,18.99
92,Haines Junction,CA,2021-12-04 08:54:19,60.7522,-137.5108,-16.65,76,100,1.14
93,Hobart,AU,2021-12-04 08:54:20,-42.8794,147.3294,55.26,54,20,14.97
94,Puerto Ayora,EC,2021-12-04 08:54:20,-0.7393,-90.3518,66.99,94,43,5.44
95,Port Hardy,CA,2021-12-04 08:54:20,50.6996,-127.4199,39.2,100,90,3.44
96,Walvis Bay,NA,2021-12-04 08:54:21,-22.9575,14.5053,67.15,59,0,4.61
97,Nisia Floresta,BR,2021-12-04 08:53:08,-6.0911,-35.2086,80.98,79,91,8.01
98,Susanville,US,2021-12-04 08:54:22,40.4163,-120.653,30.04,93,1,3.44
99,Cacu,BR,2021-12-04 08:49:43,-18.5567,-51.1308,74.01,71,82,4.05
100,Mar Del Plata,AR,2021-12-04 08:54:22,-38.0023,-57.5575,58.08,80,90,3.0
101,Nizwa,OM,2021-12-04 08:54:23,22.9333,57.5333,78.87,30,1,7.27
102,Hilo,US,2021-12-04 08:51:29,19.7297,-155.09,75.27,89,90,23.02
103,Contai,IN,2021-12-04 08:54:23,21.7786,87.7536,68.23,87,100,5.53
104,Ancud,CL,2021-12-04 08:54:24,-41.8697,-73.8203,46.42,86,2,3.91
105,Deputatskiy,RU,2021-12-04 08:54:24,69.3,139.9,-40.63,96,22,4.56
106,Klaksvik,FO,2021-12-04 08:54:24,62.2266,-6.589,34.72,87,92,13.04
107,Dunedin,NZ,2021-12-04 08:49:36,-45.8742,170.5036,54.81,66,98,3.0
108,Meulaboh,ID,2021-12-04 08:54:25,4.1363,96.1285,83.61,68,53,6.78
109,Agropoli,IT,2021-12-04 08:54:25,40.3469,14.9966,58.75,66,16,2.48
110,Leningradskiy,RU,2021-12-04 08:54:26,69.3833,178.4167,-4.14,81,100,15.3
111,Geraldton,AU,2021-12-04 08:54:26,-28.7667,114.6,82.81,47,0,23.02
112,Arraial Do Cabo,BR,2021-12-04 08:54:26,-22.9661,-42.0278,62.56,79,20,0.0
113,Nikolskoye,RU,2021-12-04 08:54:27,59.7035,30.7861,21.09,93,99,4.41
114,Praya,CV,2021-12-04 08:54:27,14.9215,-23.5087,72.14,78,40,21.85
115,Cabedelo,BR,2021-12-04 08:54:28,-6.9811,-34.8339,81.27,79,39,11.65
116,Belaya Gora,RU,2021-12-04 08:54:28,68.5333,146.4167,-35.84,100,60,3.51
117,Cidreira,BR,2021-12-04 08:54:28,-30.1811,-50.2056,68.65,83,45,16.46
118,Georgetown,MY,2021-12-04 08:54:29,5.4112,100.3354,89.55,65,40,1.99
119,Saint-Francois,FR,2021-12-04 08:54:29,46.4154,3.9054,50.47,90,75,6.91
120,Port Alfred,ZA,2021-12-04 08:54:29,-33.5906,26.891,69.13,78,100,15.84
121,College,US,2021-12-04 08:54:30,64.8569,-147.8028,-26.01,70,1,0.0
122,Kloulklubed,PW,2021-12-04 08:54:30,7.0419,134.2556,81.1,75,86,16.42
123,San Cristobal,VE,2021-12-04 08:54:31,7.7669,-72.225,63.23,86,98,1.59
124,Hobyo,SO,2021-12-04 08:54:31,5.3505,48.5268,83.37,56,37,19.69
125,Capao Da Canoa,BR,2021-12-04 08:54:31,-29.7456,-50.0097,67.39,88,95,10.85
126,Laguna,US,2021-12-04 08:51:34,38.421,-121.4238,52.61,96,90,4.61
127,Warrnambool,AU,2021-12-04 08:54:32,-38.3833,142.4833,56.8,68,100,10.87
