City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
250,Puerto Narino,CO,76.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
255,Kapit,MY,78.62,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
259,Parrita,CR,82.17,few clouds,9.5201,-84.3225,Beso del Viento
261,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
264,Banjarmasin,ID,77.14,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
266,Finschhafen,PG,84.97,overcast clouds,-6.6024,147.8681,Cossam Guest House
269,Blackwater,AU,86.61,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
273,Bonthe,SL,78.37,light rain,7.5264,-12.505,Bonthe Holiday Village
275,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
278,Kismayo,SO,83.61,few clouds,-0.3582,42.5454,Agan-Hotel
282,Puerto Escondido,MX,77.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
285,Nalgonda,IN,83.53,clear sky,17.05,79.2667,Sai Krishna Residency
286,Gambela,ET,86.05,few clouds,8.25,34.5833,Solomon Debebe Hotel
288,Iracoubo,GF,76.08,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
292,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
303,Camacari,BR,76.77,few clouds,-12.6975,-38.3242,Hotel Cambuci
314,Acajutla,SV,79.7,few clouds,13.5928,-89.8275,asi es
326,Labuan,MY,86.11,few clouds,5.2767,115.2417,Tiara Labuan Hotel
330,Victor Harbor,AU,78.19,clear sky,-35.5667,138.6167,McCracken Country Club
338,Gondanglegi,ID,78.6,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
345,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
347,Malpe,IN,87.1,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
348,Dwarka,IN,78.87,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
353,Berbera,SO,79.32,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
355,Nebbi,UG,75.63,broken clouds,2.4783,31.0889,Satellite One Hotel
361,Jati,PK,80.37,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
369,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
374,Richards Bay,ZA,82.0,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
375,San Patricio,US,75.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
380,Antalaha,MG,82.22,light rain,-14.9003,50.2788,Hotel Vitasoa
385,Pyay,MM,84.61,clear sky,18.8167,95.2167,Shwe Pyi Thar
387,Bogale,MM,85.19,clear sky,16.2833,95.4,Aung Pin Lel Guest House
392,Siwan,IN,80.69,clear sky,26.2167,84.3667,Hotel Manish
393,Lorengau,PG,78.57,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
395,Ugoofaaru,MV,82.45,clear sky,5.6667,73.0,Ungoofaaru Inn
398,Vao,NC,77.23,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
399,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
403,Carutapera,BR,78.84,broken clouds,-1.195,-46.02,Lidera
405,Cockburn Town,TC,80.17,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
406,Tual,ID,83.61,light rain,-5.6667,132.75,Grand Vilia Hotel
407,Balabac,PH,83.16,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
409,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
419,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
420,Mumford,GH,79.11,few clouds,5.2618,-0.759,Spanish Villa
421,Samarai,PG,84.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
422,May Pen,JM,79.81,clear sky,17.9645,-77.2451,Mus Com Bac
428,Salalah,OM,79.25,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
432,Fare,PF,80.98,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
441,Lethem,GY,76.3,overcast clouds,3.3803,-59.7968,Savannah Inn
444,Nuevitas,CU,75.33,overcast clouds,21.5453,-77.2644,Hotel Caonaba
452,Quelimane,MZ,85.95,few clouds,-17.8786,36.8883,Hotel Flamingo
457,Honiara,SB,79.93,moderate rain,-9.4333,159.95,Heritage Park Hotel
459,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
464,Malakal,SS,83.08,clear sky,9.5334,31.6605,Nile Palace Hotel
479,Payakumbuh,ID,83.21,broken clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
480,Marsh Harbour,BS,77.14,broken clouds,26.5412,-77.0636,Abaco Beach Resort
486,Sur,OM,77.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
488,Trincomalee,LK,82.0,clear sky,8.5711,81.2335,Welcombe Hotel
489,Brisbane,AU,81.16,broken clouds,-27.4679,153.0281,Royal On The Park Brisbane
491,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
498,Perbaungan,ID,82.51,heavy intensity rain,3.5679,98.956,Bendang Lama
502,Tabora,TZ,75.94,overcast clouds,-5.0167,32.8,Barcelona Lodge
506,Benguela,AO,76.77,broken clouds,-12.5763,13.4055,Hotel Praia Morena
513,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
514,The Valley,AI,80.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
521,Mamallapuram,IN,88.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
528,Santa Rosa,PH,85.08,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
530,Eydhafushi,MV,82.18,clear sky,5.1033,73.0708,Soneva Fushi
539,Neiafu,TO,80.62,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
547,Itoman,JP,75.58,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
555,Meulaboh,ID,85.12,scattered clouds,4.1363,96.1285,Kost Pria
556,Yaring,TH,80.29,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
564,Puerto Cabezas,NI,75.69,clear sky,14.0351,-83.3888,Cabaña Caribe
568,Port-Gentil,GA,78.3,light rain,-0.7193,8.7815,Fengshui Residence
569,Faanui,PF,80.69,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
572,Morondava,MG,85.82,scattered clouds,-20.2833,44.2833,La Case Bambou
579,Amuntai,ID,82.11,overcast clouds,-2.4177,115.2494,Hotel Balqis
583,Tezu,IN,75.16,overcast clouds,27.9167,96.1667,Circuit House
586,Guanica,PR,77.2,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
