City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Kapaa,US,22.0752,-159.319,75.52,76,20,1.99,heavy intensity rain
79,Rikitea,PF,-23.1203,-134.9692,76.24,76,98,7.99,light rain
80,Akdepe,TM,42.0551,59.3788,35.69,66,89,9.89,overcast clouds
81,Lima,PE,-12.0432,-77.0282,65.89,84,90,12.66,overcast clouds
82,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,14.94,snow
83,Syracuse,IT,37.0881,15.2792,51.44,74,100,16.35,moderate rain
84,Tiksi,RU,71.6872,128.8694,-17.82,90,100,11.14,overcast clouds
85,Jumla,NP,29.2747,82.1838,48.36,76,66,6.04,broken clouds
86,Saint-Pierre,RE,-21.3393,55.4781,87.44,62,0,8.05,clear sky
87,Cayenne,GF,4.9333,-52.3333,76.08,92,75,1.14,broken clouds
88,Blackfoot,US,43.1905,-112.345,34.77,52,88,13.91,overcast clouds
89,Victoria,HK,22.2855,114.1577,77.18,46,59,5.99,broken clouds
90,Elizabeth City,US,36.2946,-76.2511,54.01,90,90,8.05,overcast clouds
91,Lucapa,AO,-8.4192,20.7447,65.97,93,100,2.62,overcast clouds
92,Tsiroanomandidy,MG,-18.7667,46.0333,82.83,38,2,7.45,clear sky
93,Camacupa,AO,-12.0167,17.4833,64.13,91,99,1.57,overcast clouds
94,Saint-Philippe,RE,-21.3585,55.7679,87.35,72,14,11.23,few clouds
95,Biak,ID,-0.9131,122.8766,82.35,76,100,1.81,overcast clouds
96,Kaitangata,NZ,-46.2817,169.8464,52.93,57,75,9.84,broken clouds
97,Cherskiy,RU,68.75,161.3,-28.98,97,100,3.33,overcast clouds
98,Santa Maria,BR,-29.6842,-53.8069,63.23,95,26,3.78,scattered clouds
99,Sovetskiy,RU,61.3614,63.5842,-1.34,95,99,1.77,overcast clouds
100,Santa Helena De Goias,BR,-17.8136,-50.5969,71.8,84,16,3.0,few clouds
101,Chara,RU,56.9064,118.2631,8.13,85,99,2.19,overcast clouds
102,Hasaki,JP,35.7333,140.8333,55.8,57,100,9.44,overcast clouds
103,Barrow,US,71.2906,-156.7887,19.42,86,75,20.71,broken clouds
104,Kalmunai,LK,7.4167,81.8167,83.73,70,10,4.68,clear sky
105,Sao Filipe,CV,14.8961,-24.4956,75.43,71,80,10.98,broken clouds
106,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,20,2.3,few clouds
107,Nhamunda,BR,-2.1861,-56.7131,75.22,87,82,2.39,broken clouds
108,Yellowknife,CA,62.456,-114.3525,-22.45,81,1,2.3,clear sky
109,Khatanga,RU,71.9667,102.5,-12.35,98,100,6.91,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,75.92,42,86,8.99,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,22.84,86,75,14.97,snow
112,Timbo,BR,-26.8233,-49.2717,71.58,93,86,0.78,overcast clouds
113,Ribeira Grande,PT,38.5167,-28.7,63.46,73,93,9.98,overcast clouds
114,Chuy,UY,-33.6971,-53.4616,62.06,91,40,5.93,scattered clouds
115,Puerto Ayora,EC,-0.7393,-90.3518,67.01,92,52,6.8,broken clouds
116,Manado,ID,1.487,124.8455,88.57,70,40,9.22,scattered clouds
117,Pingliang,CN,35.5392,106.6861,42.04,27,7,8.08,clear sky
118,Fairbanks,US,64.8378,-147.7164,12.97,82,90,4.61,overcast clouds
119,Bredasdorp,ZA,-34.5322,20.0403,58.28,85,100,7.25,overcast clouds
120,Abakaliki,NG,6.3163,8.1169,77.81,85,100,3.78,overcast clouds
121,Vaini,TO,-21.2,-175.2,80.76,89,40,10.36,scattered clouds
122,Mecca,SA,21.4267,39.8261,78.48,62,2,4.59,clear sky
123,Luganville,VU,-15.5333,167.1667,82.11,79,42,3.96,scattered clouds
124,Aromashevo,RU,56.8602,68.6375,12.9,90,100,2.64,overcast clouds
125,Farkhor,TJ,37.4922,69.4036,56.28,52,0,3.91,clear sky
